,featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
260,0,0,0,14 December 2009,21:08:33,Has Potential ...,Senior Consultant,,,,,0,"There is a lot of talent in the Professional Services organization which makes for a great group of consultants to work with. The pay is good, bonuses are nice when paid on time and for a home-office based consultant travel is less than 50%, which is great if you have a family. The CDC Software client base I've worked with have been world class companies which make the consulting experience challenging but fulfilling.","Management is not very transparent, 2009 bonuses for Q2 and Q3 have been paid late with no explanation, and turn over seems to be high these days. No pay raises this year due to the ""economic downturn"". Performance is completely based on billable utilization hours (how many billable hours you can log each week) which in turn doesn't leave a lot of room for creativity and career development opportunities (training, education, etc). Benefits are pretty basic and standard no bells or whistles.",Recognize your talent in PS and reward with more promotions from within the organization. There is a lot of talent in the organization that will go somewhere else who will.,4.0,4.0,,,2.5,4.0,3.0,No Opinion of CEO,,No Opinion of CEO,,,
261,0,0,0,21 October 2009,10:01:14,senior software developer,Senior Software Developer,Bangalore,,,,0,"good place to be, at times you really need pull things up and there is always a space for you to chip in and lead. Work culture is really good. as in u often see smiling faces :) you are paid enough. u get qualified people to work with, and knowledg sharing is boon, any finding is shared accross",they pay a bit less from what is expected. in my team the growth is a problem as in there are not many options or room for me to achieve professional growth that m expecting.,"increase they pay as there is a huge contribution from this set of employee, else expect people a bye bye coz ther are many options. but there are people in this company who would love to stay as long as possible and see it growing.",4.0,4.0,,,3.5,3.5,4.0,Recommends,,Approves of CEO,,,
262,0,0,0,9 January 2009,13:10:34,Company in decline,Analyst,"Vancouver, BC",,,,0,Talented staff and challenging work,"Integration of multiple acquisitions has been handled poorly, company appears rudderless and a lot of turnover","The issue is at the top as senior management, chairman of the board and major shareholder are one in the same.",2.0,4.0,,,2.0,3.5,2.0,Doesn't Recommend,,Disapproves of CEO,,,
263,0,0,0,10 July 2008,21:03:32,This office won't be here for long,,"Vancouver, BC",,,,0,No good reason to work in the Vancouver office. Looks like they're shutting it down soon and transferring it all to India.,"Very, very unstable at the senior management level with turnover, etc. Unilateral or lack of decision making at very top stall all the work at the subsidiary level, regardless of very solid business cases.

Layoffs across the board in all offices in Jan 2008 and June 2008. The Vancouver office experienced heavy layoffs in R & D in June 2008 and now only a small skeleton staff exists. Will likely do transition of remaining operations in 3 to 6 months.",Peter Yip the CEO doesn't seem to have a consistent strategy. Decisions don't seem logical or consistent.,2.0,3.0,,,2.0,2.5,2.0,Doesn't Recommend,,,,,
264,0,0,0,16 June 2008,00:15:27,Only few annotations.,BI Analyst,"Atlanta, GA",,,,0,The BI team in the company is the best that I worked it.,Fairness from senior leaderships other mine.,Transparency in the conversations.,3.0,4.0,,,3.0,2.5,4.0,,,,,,
265,0,0,0,19 February 2020,12:00:54,Great Company to work for, Mortgage Loan Officer,,"19 February 2020
Helpful (1)
""Great Company to work for""
5.0
★★★★★
Former Employee ",full-time, more than a year,1,Company truly cares about employees. They show that by flying you to the headquarters for training to inform you about their culture. Also a fabulous steak dinner on the last night to socialize with others.,I don't have any cons about this company,,5.0,4.0,5.0,,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
266,0,0,1,8 March 2020,10:41:42,Needs better re-investment in the employees,,,,full-time, more than a year,0,"Good resources, training available for other positions, but not sure if it will lead to a promotion or not as I was not there long enough.","Benefits are lack-luster. Would have like to have seen a re-investment in the employee, such as 401k matching. This was one of the reasons I left the company.",,3.0,4.0,4.0,,4.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
267,0,0,1,10 February 2020,05:25:28,Doesn’t value employees,,,"10 February 2020
Helpful (1)
""Doesn’t value employees""
2.0
★★★★★
Former Employee ",full-time, more than 3 years,1,The pay was decent and the employees were great people.,"No opportunities for annual raises, and no bonuses. They take top producers and execs on an extravagant trip Mexico, neglecting to realize that helping those top producers is a team effort. The company brings in billions, yet refuses to reward the employees who show up every day to support its success.","If you want to retain and recruit top talent, consider rewarding your employees with a bonus, annual raise, or even just a 401k match. You can’t expect to keep up with other companies if you don’t value your people.",2.0,,,,,,,,,,,,
268,0,0,0,9 October 2019,07:40:43,Love my branch, Mortgage Loan Processor,"Indianapolis, IN","9 October 2019
""Love my branch""
5.0
★★★★★
Current Employee ",full-time, more than 5 years,0,"I've been here 7+ years, and have always had a great relationship with my boss. Richard is super flexible and has always pretty much let me do what I want/need as far as leaving to take care of my daughter when she was still at home. I recently had an offer from another employer for considerably higher base pay, and he matched it. Shows that he values me as an employee.","I know that at the Corporate level, they allow people to work from home - wish this were an option for me at the Branch level. Would love to telecommute a couple days a week.","not really a lot of room for advancement at the branch level. would consider moving into Underwriting, but know that when layoffs come around, I'd be first out the door, and I wouldn't have the security that I do at my Branch.",5.0,5.0,5.0,,3.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
269,0,0,0,11 July 2019,09:30:28,Great Company, Business Systems Analyst,,"11 July 2019
""Great Company""
4.0
★★★★★
Former Employee ",full-time,,0,Great Company with great Executive Management team.,No advancement opportunities and no annual reviews for raises.,Thank you for your review.,4.0,5.0,5.0,,1.0,5.0,5.0,Approves of CEO,,Approves of CEO,"July 15, 2019",Vice President of Marketing & Communications,
270,0,0,1,2 July 2019,06:42:06,Great work environment with work-life balance,,,,full-time,,0,"CCMC provides a great, family-like culture and encourages employees to have work-life balance. The company has a longstanding positive reputation in the community and it's wonderful to hear about CCMC's customer-focused mission to help home owners.",It would really enhance the benefits if the company provided a 401k match and some form of paid family leave.,,5.0,,,,,,,Recommends,Positive Outlook,Approves of CEO,,,
271,0,0,0,20 June 2019,09:13:41,Great Team. Great Culture., Senior Graphic Designer,"Denver, CO","20 June 2019
""Great Team. Great Culture.""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"• I love the team I work with! They are more than just my co-workers but more like my friends or work family.
• The VP of Marketing, David Arrnet is AMAZING! I always feel listened to and supported. He is also great at encouraging a work-life balance and really helps continue to grow and push our team to do the best we can.","• Communication between different departments is not always clear or even there which can make it difficult when working on bigger initiatives
• Benefits (mainly no matching on 401K) are not the best
• You can't bring your dog to work","Listen to not only the managers but also the people who may be at the ""bottom of the barrel"". They have ideas and see things that you may not.",5.0,5.0,5.0,,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
272,0,0,0,19 June 2019,15:57:23,Great Culture and Work Life Balance, Corporate Employee,"Greenwood Village, CO","19 June 2019
""Great Culture and Work Life Balance""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"Love the company, the vibe around corporate and the accessibility of most of the executive leadership.","Sometimes corporate moves slowly, but that's the way it is with most companies.",,5.0,5.0,5.0,,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
273,0,0,0,6 June 2019,12:58:31,I love my job and my CCMC Family., Vice President Marketing,"Denver, CO","6 June 2019
""I love my job and my CCMC Family.""
5.0
★★★★★
Current Employee ",full-time, more than 3 years,0,"Fantastic leadership that really listens to their employees and is not afraid to try new ideas. 
Culture is like a big family. 
Incredible opportunities for growth, increasing education and sharpening skills. 
Forward thinking and striving for cutting-edge technologies.
A good work/life balance is promoted.","401 K is not a match; however, we do have a home loan benefit that is fantastic.",,5.0,5.0,4.0,,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
274,0,0,0,27 April 2019,18:47:08,Branch Manager, Branch Manager,"Richland, WA","27 April 2019
""Branch Manager""
4.0
★★★★★
Current Employee ",full-time, more than 8 years,0,"The newly launched, proprietary LOS system is by far the best in the industry. Management provides loan officers business development tools like Home Buyers Marketing, MBS, OSI and MBS Highway. We have an in-house coaching program through Rewire and an annual sales rally. Programs are constantly being added to provide loan officers opportunities to assist more buyers. Management is accessible and responsive.",Some departments provide better service than others. Brand awareness outside of the Colorado market is less than desirable. No matched 401k.,"Share your vision and plans for the future growth of the company. Where are we going and how are you going to get us there? Take the time to visit your branches. Survey employees, you might be surprised at the insights you are able to glean.",4.0,5.0,5.0,,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
275,0,0,1,9 April 2019,21:51:04,great company to work for,,,"9 April 2019
""great company to work for""
5.0
★★★★★
Current Employee ",full-time,,0,management is great and very interactive with their employees. everyone looks out for each other and helps one another when they need it,Tedious work. can be repetitive at times,,5.0,5.0,4.0,,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
276,0,0,0,27 March 2019,16:27:16, Breaking down and scanning completed mortgage loans, Office Assistant,,"27 March 2019
"" Breaking down and scanning completed mortgage loans""
5.0
★★★★★
Former Employee ",part-time,,0,"Welcoming, professional, hard workers, knowledgeable, friendly, smart","Big
Only in one city
Intense
Stressful
Undefined hours",,5.0,,,,,,,,,,,,
277,0,0,0,23 April 2019,01:37:02,Run from this company, Branch Manager,"Los Angeles, CA","23 April 2019
""Run from this company""
1.0
★★★★★
Former Employee ",full-time, less than a year,0,There were a few decent folks.,"Worst company I ever worked for. Within a month of leaving, management handed my closed loan client base to someone and told them to solicit my clients. Mind you, these were self sourced clients and mgmt told me prior to starting there that they would never solicit my clients. They also have a horrendous underwriting dept. Closing a loan here was worth than walking through a swamp filled with alligators.",Don’t Lie to your employees. Practice what you preach.,1.0,1.0,1.0,,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
278,0,0,1,13 February 2019,17:25:41,Great company,,"Greenwood Village, CO","13 February 2019
""Great company""
5.0
★★★★★
Former Employee ",full-time,,0,"Managers did not micro manage and was a very relaxed, yet productive environment",Company does lay offs several times a year. Not a very secure job.,,5.0,5.0,5.0,,4.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO,,,
279,0,0,0,15 January 2019,15:04:21,Like a Family, Loan Officer,"Cherry Hills Village, CO","15 January 2019
""Like a Family""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,Everyone really cares about you and wants you to succeed. They have great technology and corporate is designed to make life easier for LO's.,"Do not think it is a great time to be in the industry, with rising rates and high home prices many people are priced out and there is practically no Refi business to be found.",Maybe figure out a way to drive some leads to LO's.,5.0,5.0,5.0,,5.0,3.0,5.0,Recommends,Negative Outlook,Approves of CEO,,,
280,0,0,1,22 March 2018,08:29:07,Non-exempt position,,"Denver, CO",,full-time, more than 3 years,0,"Pay was acceptable, majority of leads/mgrs very good about anyone needing personal time/making up time.","Male employees paid more for same positions than female employees. Nepotism present, standing up to alleged mistreatment frowned upon .","End the denial of potential corruption and nepotism, it will most likely ultimately harm your company's success.",2.0,2.0,1.0,,2.0,3.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
281,0,0,1,26 January 2018,12:27:57,"Good Place to Work, Needs Better Retirement Plans",,,"26 January 2018
Helpful (1)
""Good Place to Work, Needs Better Retirement Plans""
4.0
★★★★★
Former Employee ",part-time,,1,"No real micromanaging, not a high stress place to work.",Cherry Creek needs better retirement options.,,4.0,,,,,,,,,,,,
282,0,0,0,12 February 2018,20:39:47,Does not pay equally for same work, Loan Officer,,"12 February 2018
""Does not pay equally for same work""
1.0
★★★★★
Former Employee ",full-time, more than a year,0,The office space is nice.,"Not all loan officers are paid equally. Different commission structure for different people, not based on experience, but based on who recruited you. New LOs with small production are paid a higher percentage than seasoned LOs who were hired on their own without a recruiter. 

Manager pays commissions late. I was paid 30 days past my contract date, more than once. (60 days past loan closing) You have to hound them to get paid.",Treat all LOs equally. Pay commissions on time.,1.0,,1.0,,1.0,1.0,,Doesn't Recommend,Negative Outlook,,,,
283,0,0,1,10 December 2017,14:49:45,Employer Review,,,"10 December 2017
""Employer Review""
5.0
★★★★★
Former Employee ",full-time,,0,Excellent management team. Great company. All about honesty and integrity. Take wonderful care of their employees. No one ever wants to leave. Ageism isn't an issue either. Huge plus!!,Don't have a matching 401k program.,Keep up the good work!,5.0,5.0,5.0,,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
284,0,0,1,26 July 2017,10:03:13,Sr Loan CLoser,,"Gilbert, AZ","26 July 2017
Helpful (2)
""Sr Loan CLoser""
4.0
★★★★★
Current Employee ",full-time, more than 3 years,2,Management is very helpful when in need.,There is not that much career growth.,,4.0,4.0,4.0,,3.0,4.0,5.0,Doesn't Recommend,Positive Outlook,Approves of CEO,,,
285,0,0,1,20 August 2017,20:06:18,Terrible management! Great pay!,,,"20 August 2017
Helpful (1)
""Terrible management! Great pay!""
1.0
★★★★★
Former Employee ",full-time,,1,If you're looking for a good pay day and literally have no other cares in the world... this is the place for you!,"No 401k Match. The management team is full of children. The technology is terrible and they refuse to acknowledge it, you just have to pretend everything is great. They recently got sued for failing to provide health insurance to a same sex couple. You should expect to stay in the same position you're hired in... forever. If you indicate to management you want to grow your career they'll pat your back and send you back to your desk. This place is run terribly because the executive management team is a joke and the President is clueless so it's not likely to change anytime soon.",Get rid of most of your executive management team! They have no idea what they are doing anyways...,1.0,1.0,1.0,,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
286,0,0,1,17 May 2017,18:10:33,Strong Colorado Company - but needs to be a little more consistent,,,,full-time, more than a year,0,"Local company, good benefits, many branch locations, upper management is friendly. CEO and VPs are visible and engage with their staff and engaged in the business.",There's some disconnect between various departments. The management doesn't always enforce policies they've set up consistently.,Enforce rules and policies consistently or not at all.,4.0,5.0,5.0,,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
287,0,0,1,30 March 2017,16:18:27,Opportunity,,"Diamond Bar, CA","30 March 2017
""Opportunity""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,Cherry Creek has an employee minded culture. They have honesty and integrity as their top stated Core Value and it shows.,Sometimes it is hard to manage from another State,,4.0,4.0,5.0,,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
288,0,0,0,14 November 2016,02:16:31,Excellent company, Loan Processing Assistant,"Saint Charles, IL","14 November 2016
Helpful (1)
""Excellent company""
5.0
★★★★★
Former Employee ",full-time, more than a year,1,"Great culture - different, better than the rest in the industry- more positive. They actually want to help their clients.",This is a fast paced environment.,,5.0,3.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
289,0,0,0,5 December 2016,07:14:38,"Great company, if you enjoy being laid off in December!", Help Desk Technician,"Greenwood Village, CO","5 December 2016
Helpful (1)
""Great company, if you enjoy being laid off in December!""
1.0
★★★★★
Former Employee ",full-time, less than a year,1,"Majority of employees were friendly. No 401k matching and expensive benefits, but there were free soda fountains in the break room!",Was laid off on December 1st with no warning after only being with the company a few months. Typical mortgage company.,"A little notice would have been nice. Providing for my 3 kids is going to be tough, especially around the holidays. Two weeks severance isn't going to be much help when companies aren't going to want to start hiring anyone until January.",1.0,1.0,1.0,,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
290,0,0,1,15 July 2016,12:33:57,Mortgage Loan Processor,,,"15 July 2016
""Mortgage Loan Processor""
4.0
★★★★★
Current Employee ",full-time,,0,Great company culture. Diverse product line. Hard working people. They made it through the mortgage meltdown. Faith based people will really like this place.,Technology on the back end systems can make the job extremely difficult at times. But no jobs perfect the pro's far outweigh the cons.,,4.0,4.0,5.0,,4.0,3.0,4.0,Recommends,,,,,
291,0,0,0,8 August 2016,08:21:04,Na,,"Diamond Bar, CA",,, less than a year,1,Staff great people to work with,Upper management was not very affective at running this company,Talk to your people lots of ideas but no one wants to listen,1.0,1.0,1.0,,1.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,,,
292,0,0,1,14 June 2016,15:19:03,AVP Director of Production Services,,"Greenwood Village, Arapahoe, CO","14 June 2016
""AVP Director of Production Services""
5.0
★★★★★
Current Employee ",full-time, more than 5 years,0,Big company with the personality of a small company,Does not match 401k contributions for Employees,Great core convictions that says a lot about who we are,5.0,,,,,,,Recommends,Positive Outlook,,,,
293,0,0,0,4 June 2016,11:17:59,Amazing Company to Work For,,"Los Angeles, CA",,,,0,"This is a company that understands that taking care of your employees leads to happy customers. Their values and desire to do the most transparent and honest business made it a company I could get on board with. It is apparent why they have grown so large, as their commitment to hiring individuals of integrity and screening processes during hiring demonstrate. In an industry where anyone with a pulse can get hired with no regards to the consumers experience, Cherry Creek has really excelled at separating themselves from that stigma. I have never worked for a mortgage company that focuses so hard on helping employees have life balance, even to the extent of investing in career growth curriculum and life coaching for the employee. Most of the employees have been here for a long time with hopes of never leaving, and I can see why.",I can't think of any.,,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
294,0,0,0,25 April 2016,21:40:53,Loan Officer,,"Denver, CO",,,,0,Great people!!!! Very supportive staff!!!,No coaching/ ongoing training program within the company.,Keep up the great work!,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
295,0,0,0,29 October 2015,14:14:03,Loan Coordinator, Mortgage Loan Coordinator,"Scottsdale, AZ","29 October 2015
""Loan Coordinator""
4.0
★★★★★
Current Employee ",full-time, less than a year,0,Great co-workers & environment. Awesome support and education!,No cons on my team!,,4.0,5.0,5.0,,4.0,4.0,5.0,Recommends,Positive Outlook,,,,
296,0,0,0,3 September 2015,15:42:29,Loan Originator,Branch Manager,"Phoenix, AZ",,, less than a year,0,"Great company. Good reputation and caring people. New to the Phoenix market so a bit difficult to start up a new office - unfortunately, that was my downfall with Cherry Creek. Simply wasn't able to create a pipeline in the time allowed.",None The company is well-managed.,,4.0,4.0,5.0,,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
297,0,0,0,19 April 2015,15:57:00,Cherry Creek is a great company, MOrtgage Loan Originator,"Milwaukee, WI","19 April 2015
""Cherry Creek is a great company""
4.0
★★★★★
Former Employee ",full-time,,0,The senior level management is very accessible and cares about the well-being of their employees,Processing inefficiency like many mortgage companies,,4.0,4.0,5.0,,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
298,0,0,0,9 October 2014,12:17:20,Non existent management, Loan Originator,"Saint Charles, IL","9 October 2014
""Non existent management""
2.0
★★★★★
Former Employee ",full-time, less than a year,0,Very kind people working there with good intentions,"The person that actually knows the business and you can respect is never there and the person he left in charge was his best friend who has no clue about the business. Internally he was made fun of as the No man because of ignorance he just said no to any loan that wasn't a cookie cutter loan not because he meant it but because he feared it biting him in the butt from lack of knowledge of the business and industry. Processing needs an attitude adjustment, everyone in the office is related or friends, it was almost like walking into a cult","Hire without fear to bring in experienced knowledge people and allow room for change with the time. When there is a problem with your staff that has been there for a long time, listen, maybe that's why your not growing",2.0,4.0,5.0,,2.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
299,0,0,0,5 August 2014,07:40:19,"Productive, sometimes stressful, rewarding.", Loan Officer Assistant,"Denver, CO","5 August 2014
""Productive, sometimes stressful, rewarding.""
4.0
★★★★★
Current Employee ",full-time, more than 10 years,0,"Helping those looking for mortgages to better understand the process can be very rewarding. It's a real team environment where people work together to get the job done. The atmosphere is typically friendly, helpful and results driven.","There much on the job training rather than formal training, especially for lower levels of management.",Focus on training new managers on policies and regulations in dealing with their team.,4.0,4.0,3.0,,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
300,0,0,1,14 July 2014,06:37:10,Opportunity Knocks,,"Denver, CO","14 July 2014
""Opportunity Knocks""
5.0
★★★★★
Current Employee ",full-time,,0,"As an employee, I feel a tremendous amount of support from Cherry Creek Mortgage and its executive team. In my experience, there is a very open line of communication between myself and my boss, and he is very receptive to my ideas and provides me the support I need to move forward with the projects that I'm tasked to lead.","The mortgage industry is very dynamic and requires you to be adaptable to change. CCMC's management team is very responsive to industry trends and regulatory pressures, so this means that, as an employee, you have to be flexible and willing to adjust at those times when the company's focus changes from one directive to another. I think that this same critique could be applied to any mortgage company that is looking to survive and thrive within the current industry environment.","We have branches spread across a large number of states. I'd love to see an initiative that supports and strengthens our ""culture"" across those branches, so that those in corporate have a better feel for what is happening at the branch level and vice versa.",5.0,5.0,5.0,,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
301,0,0,1,22 April 2014,10:28:41,Hurry up and wait for mgmt,,,"22 April 2014
Helpful (3)
""Hurry up and wait for mgmt""
3.0
★★★★★
Current Employee ",full-time,,3,"Cherry Creek is a friendly, laid back place to work, with flexible managers, and a dedicated staff of people at corporate who take their job seriously and work extremely hard to support loan originators in the field.","It seems like the strategy for business development is changed on a weekly basis. Low follow through on initiatives by upper mgmt, and it seems like the corporate staff is caught in a cycle of scrambling to keep up. Low career mobility.","Set a goal, tell the company about it, know how your going to reach it, then do it! Enough of the ""well lets see how this goes"" mentality!",3.0,4.0,4.0,,3.0,2.0,3.0,Recommends,Neutral Outlook,Approves of CEO,,,
302,0,0,0,6 March 2014,11:49:59,Great employee treatment, Processor,"Phoenix, AZ","6 March 2014
Helpful (1)
""Great employee treatment""
3.0
★★★★★
Current Employee ",full-time, more than a year,1,"lots of marketing to help promote business, good pay, great company culture.",some of the benefits don't trickle down to branches outside of corporate main area in Colorado. Communication is lacking between departments. Lots of resources are not actually available outside of Colorado.,Make resources equal among all branches.,3.0,4.0,5.0,,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
303,0,0,0,6 March 2014,09:46:53,Tough Place to get Started, MOrtgage Loan Originator,,"6 March 2014
""Tough Place to get Started""
3.0
★★★★★
Current Employee ",full-time,,0,CCMC has a very good culture. They have a lot of family values and are willing to give you time to spend with your family. They have a good amount of resources to drive your own marketing campaigns. Some people at corporate are very responsive and willing to help.,It's a very tough place for a new MLO to get started. The company has no lead generation and so you are completely on your own to grow your business.,,3.0,5.0,4.0,,3.0,2.0,4.0,Doesn't Recommend,,Approves of CEO,,,
304,0,0,0,6 February 2014,18:43:50,Good Training for LO's with Xinnix., Loan Officer,"Denver, CO","6 February 2014
Helpful (1)
""Good Training for LO's with Xinnix.""
3.0
★★★★★
Current Employee ",full-time, more than a year,1,Good training for new LO's.,Conservative Underwriting. Cumbersome processing.,Catch up with the 21st century with technology and sales support,3.0,4.0,4.0,,3.0,2.0,2.0,Doesn't Recommend,Positive Outlook,No Opinion of CEO,,,
305,0,0,0,30 January 2013,05:56:28,Overwhelmed unfocused corporate leadership, Loan Originator,"Denver, CO","30 January 2013
Helpful (1)
""Overwhelmed unfocused corporate leadership""
3.0
★★★★★
Current Employee ",full-time, more than 3 years,1,"Good community reputation, fair compensation, privately held","Have trouble delivering corp initiatives. Interested in protecting corp over production needs, protecting internal turfs,and technology systems are old and cumbersome.",Probably time to hire national leadership talent,3.0,2.0,2.0,,3.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,,,,
306,0,0,0,25 November 2012,22:07:46,Horrible senior management, Loan Originator,"Denver, CO","25 November 2012
""Horrible senior management""
1.0
★★★★★
Former Employee ",full-time, more than a year,0,Few pros but the compensation is competitive.,"Company portrays itself as a very balanced and focused company. It is not. The basic communications are astonishingly awful. The company will send out 25 page emails and expect everyone just to know everything. Anyone ever hear of a memo and an archive on an intranet? Additionally, they care about sales, not customers.",Get in touch. Originate every once and a while. Communicate more effectively and have a place where previous communications can be accessed.,1.0,4.0,3.0,,1.0,4.0,1.0,Doesn't Recommend,Negative Outlook,,,,
307,0,0,0,19 January 2021,06:02:59,Fair, Part,Hong Kong,"19 January 2021
""Fair""
5.0
★★★★★
Former Employee ",part-time,,0,Little working hours. The pay is fair,Relatively busy during exam period,,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,,,,,
308,0,0,1,16 January 2021,22:58:46,PhD,,,"16 January 2021
""PhD""
5.0
★★★★★
Current Employee ",full-time,,0,"good, best, high salary, and beatifully",hong kong is worse to live,,5.0,,,,,,,,,,,,
309,0,0,0,15 January 2021,21:41:38,Good working experience, Research Associate,Hong Kong,"15 January 2021
""Good working experience""
5.0
★★★★★
Current Employee ",full-time,,0,It has a very nice campus,Administration is not very efficient,,5.0,,,,,,,,,,,,
310,0,0,0,12 January 2021,02:08:49,Helper, Helper,Hong Kong,"12 January 2021
""Helper""
5.0
★★★★★
Former Employee ",part-time, less than a year,0,"nice, comfortable, friendly environment, good to work","lack of upward development, cold",,5.0,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
311,0,0,0,7 January 2021,22:09:57,Part-time student helper, Part Time Student Helper,Hong Kong,,part-time,,0,Close to school campus and conveinient,pay is somewhat lower than other places,,5.0,,,,,,,,,,,,
312,0,0,0,6 January 2021,02:26:23,Good, Research Assistant,Hong Kong,"6 January 2021
""Good""
5.0
★★★★★
Current Employee ",full-time,,0,perform well in every aspect,None None None None None,,5.0,,,,,,,,,,,,
313,0,0,0,19 January 2021,18:36:20,Stable job status, Assistant Project Coordinator,Hong Kong,"19 January 2021
""Stable job status""
4.0
★★★★★
Current Employee ",full-time,,0,"stable environment, good working hour","no promotion, boring job duties",,4.0,4.0,4.0,4.0,2.0,3.0,4.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
314,0,0,0,4 January 2021,01:01:57,CRMO, Research Assistant,Hong Kong,"4 January 2021
""CRMO""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"Great and quiet environment, and staffs",Nothing that I know of,,5.0,3.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
315,0,0,0,16 January 2021,21:28:47,Chill Work Environment, Fresh Graduate,Hong Kong,"16 January 2021
""Chill Work Environment""
4.0
★★★★★
Former Employee ",full-time,,0,"Flexible working hours, chill work environment","less exciting, lack career advancement opportunities",,4.0,4.0,3.0,2.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
316,0,0,0,2 January 2021,08:47:39,Good Experience, Teaching Assistant,Hong Kong,"2 January 2021
""Good Experience""
5.0
★★★★★
Former Employee ",part-time, less than a year,0,Very Good Experience - Hours are flexible.,There doesn't seem to be any cons.,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
317,0,0,0,16 January 2021,02:41:24,Good, Student,Hong Kong,"16 January 2021
""Good""
3.0
★★★★★
Current Employee ",full-time,,0,,,,3.0,,,,,,,,,,,,
318,0,0,0,13 January 2021,22:26:35,It's ok, Bioinformatics Scientist,Sha Tin,"13 January 2021
""It's ok""
3.0
★★★★★
Current Employee ",full-time, more than a year,0,"The workload is low, and the rankings is high",The management is a little bit poor,,3.0,,,,,,,,,,,,
319,0,0,0,28 December 2020,18:52:04,Good, PhD Student,Hong Kong,"28 December 2020
""Good""
5.0
★★★★★
Former Employee ",part-time,,0,It's good in every aspect,I cannot think of any,,5.0,,,,,,,,,,,,
320,0,0,0,10 January 2021,22:47:13,Good, Project Coordinator,Sha Tin,"10 January 2021
""Good""
4.0
★★★★★
Former Employee ",full-time,,0,"stable, many annual leave, have medical","Remote location, need to take school bus",,4.0,,,,,,,,,,,,
321,0,0,0,8 January 2021,19:38:29,Comments, PhD Student,Hong Kong,"8 January 2021
""Comments""
3.0
★★★★★
Current Employee ",full-time, more than a year,0,Just like other institutions in hk,Lack of working space and tough senior members,None,3.0,2.0,4.0,3.0,3.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
322,0,0,0,5 January 2021,04:12:47,Worth, Postgraduate,Hong Kong,"5 January 2021
""Worth""
3.0
★★★★★
Former Employee ",full-time,,0,Learned frontier technique and reasonable-priced foods,Too stressed to handle the workload,,3.0,2.0,4.0,4.0,3.0,3.0,2.0,,,,,,
323,0,0,1,14 December 2020,19:32:52,,,Hong Kong,"14 December 2020
""NA""
5.0
★★★★★
Current Employee ",full-time,,0,Good teaching environment and professional teachers,Have not been identified yet,,5.0,,,,,,,,,,,,
